Id,Modulo,Nodo,Punto,Especie,Genero,Epiteto,Sexo,Edad,Est Reprod,LP,LO,LCO,LCU,LT,LV,Peso (g),Fecha,Obs
58,0,58,D9,Peromyscus sp.,Peromyscus,morfo 1,H,Juv,SC,19.8,16.1,100,67,167,35.2,22,2/23/2022,Morfo café-amarillo
59,0,58,D12,??,,,H,Ad,Preñada,19.2,16.8,115,72,187,39.4,28,2/23/2022,
54,0,58,B3,Peromyscus sp.,Peromyscus,morfo 1,,,,,,,0,,,,2/23/2022,Recaptura
60,0,58,B7,Peromyscus sp.,Peromyscus,morfo 1,M,Ad,TE,20.9,14.9,70,76,146,36.4,28,2/23/2022,"Flanco amarillo, pelaje con tonos amarillo oscuro y naranja. Cola cortada, dos muescas en oreja derecha. Sin parasitos"
61,0,58,B9,Peromyscus sp.,Peromyscus,morfo 2,H,Ad,Preñada,21.5,14.5,106,80,186,34.8,30,2/23/2022,Morfo amarillo-naranja
62,0,58,B12,Peromyscus sp.,,morfo 1,H,Cría,,17.9,11.5,66,58,124,28.1,12,2/23/2022,Morfo gris
54,0,58,B3,Peromyscus sp.,,,,,,,,,0,,,,2/24/2022,
63,0,58,B5,Peromyscus sp.,Peromyscus,morfo 1,H,Ad,SA,20.7,15.6,104,84,188,39.2,37,2/24/2022,"Mamas desarrolladas. Morfo amarillo, presencia de pulgas"
64,0,58,B7,Peromyscus sp.,,morfo 1,H,Juv,SC,20.9,16.1,89,71,160,35.9,18,2/24/2022,Morfo gris 
65,0,58,B12,Peromyscus sp.,,morfo 1,M,Juv,TI,20.1,15.1,70,66,136,35.1,13,2/24/2022,Morfo gris
61,0,58,C5,Peromyscus sp.,,,,,,,,,0,,,,2/24/2022,Recaptura
66,0,58,D1,Peromyscus sp.,Peromyscus,morfo 2,M,Ad,TE,20.4,15.2,107,81,188,40,30,2/24/2022,Morfo naranja
67,0,58,D2,Peromyscus sp.,Peromyscus,morfo 1,H,Juv,SC,21.3,15.5,93,70,163,32.2,24,2/24/2022,Morfo gris con flanco amarillo
68,0,58,D5,Peromyscus sp.,Peromyscus,morfo 1,M,Juv,TI,20.6,13.3,87,66,153,32.4,17,2/24/2022,Morfo gris con flanco amarillo
59,0,58,D7,Peromyscus sp.,,,,,,,,,0,,,,2/24/2022,Recaptura
69,0,61,,Peromyscus sp.,,,H,Ad,SA,20.3,16.1,90,80.3,170.3,,30,3/23/2022,ESTA EN CELULAR 
70,0,61,B4,Peromyscus sp.,Peromyscus,morfo 1,H,Ad,SA,21.9,18.2,100.2,85,185.2,39.4,25,3/23/2022,"Morfo amarillo, mamas desarrolladas. Vientre con base de pelo gris, punta crema, laterales naranjas, cola parcialmente bicoloreada"
71,0,61,B9,Peromyscus sp.,Peromyscus,morfo 1,M,Cría,,19.9,14.6,83,67,150,36,14,3/23/2022,Morfo gris
72,0,61,B4,Peromyscus sp.,Peromyscus,morfo 1,M,Juv,TI,21.7,21.4,95,76,171,31.9,12,3/24/2022,"Morfo gris, flancos amarillos"
NA,0,61,B2,Peromyscus sp.,Peromyscus,morfo 1,,,,,,,0,,,19,3/24/2022,"Morfo gris, flancos amarillos (escapó)"
70,0,61,C4,Peromyscus sp.,Peromyscus,morfo 1,,,,,,,0,,,,3/24/2022,Recaptura
73,0,61,A1,Liomys irroratus,Liomys ,irroratus,M,Ad,TE,19.4,15.1,48,98,146,40,56,3/24/2022,Cola mocha
74,0,61,A2,Peromyscus sp.,Peromyscus,morfo 1,M,Ad,TE,20.5,16.5,92,62,154,37.7,21,3/24/2022,Morfo café-amarillo
75,0,61,D2,Peromyscus sp.,Peromyscus,morfo 1,H,Ad,Preñada,20.7,16.7,91,79,170,38.7,25,3/24/2022,Morfo amarillo
69,0,61,A2,Peromyscus sp.,Peromyscus,morfo 1,,,,,,,0,,,38,3/25/2022,"Recaptura, morfo café-amarillo"
